Time(s),NodeID,Role,RemainingEnergy(J)
5,0,SENSOR,9999.89
5,1,SENSOR,9999.89
5,2,SENSOR,9999.89
5,3,SENSOR,9999.89
5,4,SENSOR,9999.89
5,5,SENSOR,9999.89
5,6,SENSOR,9999.89
5,7,SENSOR,9999.89
5,8,SENSOR,9999.89
5,9,SENSOR,9999.89
5,10,SENSOR,9999.89
5,11,SENSOR,9999.89
5,12,SENSOR,9999.89
5,13,SENSOR,9999.89
5,14,SENSOR,9999.89
5,15,SENSOR,9999.89
5,16,SENSOR,9999.89
5,17,SENSOR,9999.89
5,18,SENSOR,9999.89
5,19,SENSOR,9999.89
5,20,SENSOR,9999.89
5,21,SENSOR,9999.89
5,22,SENSOR,9999.89
5,23,SENSOR,9999.89
5,24,SENSOR,9999.89
5,25,SENSOR,9999.89
5,26,SENSOR,9999.89
5,27,SENSOR,9999.89
5,28,SENSOR,9999.89
5,29,SENSOR,9999.89
5,30,SENSOR,9999.89
5,31,SENSOR,9999.89
5,32,SENSOR,9999.89
5,33,SENSOR,9999.89
5,34,SENSOR,9999.89
5,35,SENSOR,9999.89
5,36,SENSOR,9999.89
5,37,SENSOR,9999.89
5,38,SENSOR,9999.89
5,39,SENSOR,9999.89
5,40,SENSOR,9999.89
5,41,SENSOR,9999.89
5,42,SENSOR,9999.89
5,43,SENSOR,9999.89
5,44,SENSOR,9999.89
5,45,SENSOR,9999.89
5,46,SENSOR,9999.89
5,47,SENSOR,9999.89
5,48,SENSOR,9999.89
5,49,SENSOR,9999.89
5,50,SENSOR,9999.89
5,51,SENSOR,9999.89
5,52,SENSOR,9999.89
5,53,SENSOR,9999.89
5,54,SENSOR,9999.89
5,55,SENSOR,9999.89
5,56,SENSOR,9999.89
5,57,SENSOR,9999.89
5,58,SENSOR,9999.89
5,59,SENSOR,9999.89
5,60,SENSOR,9999.89
5,61,SENSOR,9999.89
5,62,SENSOR,9999.89
5,63,SENSOR,9999.89
5,64,SENSOR,9999.89
5,65,SENSOR,9999.89
5,66,SENSOR,9999.89
5,67,SENSOR,9999.89
5,68,SENSOR,9999.89
5,69,SENSOR,9999.89
5,70,SENSOR,9999.89
5,71,SENSOR,9999.89
5,72,SENSOR,9999.89
5,73,SENSOR,9999.89
5,74,SENSOR,9999.89
5,75,SENSOR,9999.89
5,76,SENSOR,9999.89
5,77,SENSOR,9999.89
5,78,SENSOR,9999.89
5,79,SENSOR,9999.89
5,80,SENSOR,9999.89
5,81,SENSOR,9999.89
5,82,SENSOR,9999.89
5,83,SENSOR,9999.89
5,84,SENSOR,9999.89
5,85,SENSOR,9999.89
5,86,SENSOR,9999.89
5,87,SENSOR,9999.89
5,88,SENSOR,9999.89
5,89,SENSOR,9999.89
5,90,SENSOR,9999.89
5,91,SENSOR,9999.89
5,92,SENSOR,9999.89
5,93,SENSOR,9999.89
5,94,SENSOR,9999.89
5,95,SENSOR,9999.89
5,96,SENSOR,9999.89
5,97,SENSOR,9999.89
5,98,SENSOR,9999.89
5,99,SENSOR,9999.89
5,100,CH,9999.9
5,101,CH,9999.9
5,102,CH,9999.9
5,103,CH,9999.9
5,104,CH,9999.9
5,105,CH,9999.9
5,106,CH,9999.9
5,107,CH,9999.9
5,108,CH,9999.9
5,109,CH,9999.9
10,0,SENSOR,9999.77
10,1,SENSOR,9999.77
10,2,SENSOR,9999.77
10,3,SENSOR,9999.77
10,4,SENSOR,9999.77
10,5,SENSOR,9999.77
10,6,SENSOR,9999.77
10,7,SENSOR,9999.77
10,8,SENSOR,9999.77
10,9,SENSOR,9999.77
10,10,SENSOR,9999.77
10,11,SENSOR,9999.77
10,12,SENSOR,9999.77
10,13,SENSOR,9999.77
10,14,SENSOR,9999.77
10,15,SENSOR,9999.77
10,16,SENSOR,9999.77
10,17,SENSOR,9999.77
10,18,SENSOR,9999.77
10,19,SENSOR,9999.77
10,20,SENSOR,9999.77
10,21,SENSOR,9999.77
10,22,SENSOR,9999.77
10,23,SENSOR,9999.77
10,24,SENSOR,9999.77
10,25,SENSOR,9999.77
10,26,SENSOR,9999.77
10,27,SENSOR,9999.77
10,28,SENSOR,9999.77
10,29,SENSOR,9999.77
10,30,SENSOR,9999.77
10,31,SENSOR,9999.77
10,32,SENSOR,9999.77
10,33,SENSOR,9999.77
10,34,SENSOR,9999.77
10,35,SENSOR,9999.77
10,36,SENSOR,9999.77
10,37,SENSOR,9999.77
10,38,SENSOR,9999.77
10,39,SENSOR,9999.77
10,40,SENSOR,9999.77
10,41,SENSOR,9999.77
10,42,SENSOR,9999.77
10,43,SENSOR,9999.77
10,44,SENSOR,9999.77
10,45,SENSOR,9999.77
10,46,SENSOR,9999.77
10,47,SENSOR,9999.77
10,48,SENSOR,9999.77
10,49,SENSOR,9999.77
10,50,SENSOR,9999.77
10,51,SENSOR,9999.77
10,52,SENSOR,9999.77
10,53,SENSOR,9999.77
10,54,SENSOR,9999.77
10,55,SENSOR,9999.77
10,56,SENSOR,9999.77
10,57,SENSOR,9999.77
10,58,SENSOR,9999.77
10,59,SENSOR,9999.77
10,60,SENSOR,9999.77
10,61,SENSOR,9999.77
10,62,SENSOR,9999.77
10,63,SENSOR,9999.77
10,64,SENSOR,9999.77
10,65,SENSOR,9999.77
10,66,SENSOR,9999.77
10,67,SENSOR,9999.77
10,68,SENSOR,9999.77
10,69,SENSOR,9999.77
10,70,SENSOR,9999.77
10,71,SENSOR,9999.77
10,72,SENSOR,9999.77
10,73,SENSOR,9999.77
10,74,SENSOR,9999.77
10,75,SENSOR,9999.77
10,76,SENSOR,9999.77
10,77,SENSOR,9999.77
10,78,SENSOR,9999.77
10,79,SENSOR,9999.77
10,80,SENSOR,9999.77
10,81,SENSOR,9999.77
10,82,SENSOR,9999.77
10,83,SENSOR,9999.77
10,84,SENSOR,9999.77
10,85,SENSOR,9999.77
10,86,SENSOR,9999.77
10,87,SENSOR,9999.77
10,88,SENSOR,9999.77
10,89,SENSOR,9999.77
10,90,SENSOR,9999.77
10,91,SENSOR,9999.77
10,92,SENSOR,9999.77
10,93,SENSOR,9999.77
10,94,SENSOR,9999.77
10,95,SENSOR,9999.77
10,96,SENSOR,9999.77
10,97,SENSOR,9999.77
10,98,SENSOR,9999.77
