Time(s),Distance_to_CH(m),MDC_Speed(m/s),Total_Data_Collected(packets)
1.5,192.5,5,0
2,190,5,0
2.5,187.5,5,0
3,185,5,0
3.5,182.5,5,0
4,180,5,0
4.5,177.5,5,0
5,175,5,0
5.5,172.5,5,0
6,170,5,0
6.5,167.5,5,0
7,165,5,0
7.5,162.5,5,0
8,160,5,0
8.5,157.5,5,0
9,155,5,0
9.5,152.5,5,0
10,150,5,0
10.5,147.5,7.68335,40
11,143.658,7.8223,80
11.5,139.747,7.84309,120
12,135.826,7.85846,160
12.5,131.896,7.87367,200
13,127.96,7.88895,240
13.5,124.015,7.90432,280
14,120.063,7.91978,320
14.5,116.103,7.93533,360
15,112.135,7.95097,400
15.5,108.16,7.96671,440
16,104.177,7.98254,480
16.5,100.185,7.99846,520
17,96.186,7.70881,560
17.5,92.3316,7.40075,600
18,88.6312,7.10367,640
18.5,85.0794,6.81848,680
19,81.6702,6.54479,720
19.5,78.3978,6.28212,760
20,75.2567,6.03002,800
20.5,72.2417,5.78808,840
21,69.3477,5.55587,880
21.5,66.5697,5.333,920
22,63.9032,5.11909,960
22.5,61.3437,4.91379,1000
23,58.8868,4.71675,1040
23.5,56.5284,4.52762,1080
24,54.2646,4.34609,1120
24.5,52.0916,4.17186,1160
25,50.0056,4.00463,1200
25.5,48.0033,3.84412,1240
26,46.0813,3.69005,1280
26.5,44.2362,3.54217,1320
27,42.4651,3.40023,1360
27.5,40.765,3.26398,1400
28,39.133,3.1332,1440
28.5,37.5664,3.00767,1480
29,36.0626,2.88718,1520
29.5,34.619,2.77152,1560
30,33.2333,2.66051,1600
30.5,31.903,2.55394,1640
31,30.626,2.45165,1680
31.5,29.4002,2.35346,1720
32,28.2235,2.25921,1760
32.5,27.0939,2.16874,1800
33,26.0095,2.08189,1840
33.5,24.9686,1.99853,1880
34,23.9693,1.9185,1920
34.5,23.01,1.84169,1960
35,22.0892,1.76795,2000
35.5,21.2052,1.69717,2040
36,20.3566,1.62922,2080
36.5,19.542,1.564,2120
37,18.76,1.50139,2160
37.5,18.0093,1.44129,2200
38,17.2887,1.38359,2240
38.5,16.5969,1.32821,2280
39,15.9328,1.27505,2320
39.5,15.2953,1.22401,2360
40,14.6833,1.17502,2400
40.5,14.0958,1.12799,2440
41,13.5318,1.08285,2480
41.5,12.9903,1.03951,2520
42,12.4706,0.997906,2560
42.5,11.9716,0.957969,2600
43,11.4926,0.919632,2640
43.5,11.0328,0.882829,2680
44,10.5914,0.8475,2720
44.5,10.1677,0.813585,2760
45,9.76087,0.781028,2800
45.5,9.37035,0.749775,2840
46,8.99547,0.719772,2880
46.5,8.63558,0.690971,2920
47,8.29009,0.663322,2960
47.5,7.95843,0.63678,3000
48,7.64004,0.611301,3040
48.5,7.33439,0.586841,3080
49,7.04097,0.56336,3120
49.5,6.75929,0.54082,3160
50,6.48888,0.519181,3200
50.5,6.22929,0.5,3240
51,5.97929,0.5,3280
51.5,5.72929,0.5,3320
52,5.47929,0.5,3360
52.5,5.22929,0.5,3400
53,4.97929,0.5,3440
53.5,4.72929,0.5,3480
54,4.47929,0.5,3520
54.5,4.22929,0.5,3560
55,3.97929,0.5,3600
55.5,3.72929,0.5,3640
56,3.47929,0.5,3680
56.5,3.22929,0.5,3720
57,2.97929,0.5,3760
57.5,2.72929,0.5,3800
58,2.47929,0.5,3840
58.5,2.22929,0.5,3880
59,1.97929,0.5,3920
59.5,1.72929,0.5,3960
60,1.47929,0.5,4000
60.5,1.22929,0.5,4040
61,0.979292,0.5,4080
61.5,0.729292,0.5,4120
62,0.479292,0.5,4160
62.5,0.229292,0.5,4200
63,0.0207078,0.5,4240
63.5,0.270708,0.5,4280
64,0.520708,0.5,4320
64.5,0.770708,0.5,4360
65,1.02071,0.5,4400
65.5,1.27071,0.5,4440
66,1.52071,0.5,4480
66.5,1.77071,0.5,4520
67,2.02071,0.5,4560
67.5,2.27071,0.5,4600
68,2.52071,0.5,4640
68.5,2.77071,0.5,4680
69,3.02071,0.5,4720
69.5,3.27071,0.5,4760
70,3.52071,0.5,4800
70.5,3.77071,0.5,4840
71,4.02071,0.5,4880
71.5,4.27071,0.5,4920
72,4.52071,0.5,4960
72.5,4.77071,0.5,5000
73,5.02071,0.5,5040
73.5,5.27071,0.5,5080
74,5.52071,0.5,5120
74.5,5.77071,0.5,5160
75,6.02071,0.5,5200
75.5,6.27071,0.501651,5240
76,6.52153,0.521657,5280
76.5,6.78236,0.542518,5320
77,7.05362,0.564213,5360
77.5,7.33573,0.586775,5400
78,7.62912,0.61024,5440
78.5,7.93424,0.634642,5480
79,8.25156,0.66002,5520
79.5,8.58157,0.686412,5560
80,8.92477,0.713859,5600
80.5,9.2817,0.742404,5640
81,9.6529,0.772089,5680
81.5,10.0389,0.802961,5720
82,10.4404,0.835067,5760
82.5,10.858,0.868456,5800
83,11.2922,0.903179,5840
83.5,11.7438,0.93929,5880
84,12.2134,0.976845,5920
84.5,12.7018,1.0159,5960
85,13.2098,1.05652,6000
85.5,13.7381,1.09875,6040
86,14.2874,1.14268,6080
86.5,14.8588,1.18836,6120
87,15.453,1.23587,6160
87.5,16.0709,1.28527,6200
88,16.7135,1.33665,6240
88.5,17.3819,1.39008,6280
89,18.0769,1.44565,6320
89.5,18.7997,1.50343,6360
90,19.5514,1.56353,6400
90.5,20.3332,1.62602,6440
91,21.1462,1.69101,6480
91.5,21.9917,1.75859,6520
92,22.871,1.82888,6560
92.5,23.7854,1.90197,6600
93,24.7364,1.97797,6640
